.type	.name	.formula	H+	e-	H2O	HCO3-	Ca+2	Si(OH)4	Al+3	Fe+2	K+	Mg+2	SO4-2	Br-	Cl-	NO3-	Na+	
AQU	FeHSO4+	FeHSO4+	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	
AQU	FeSO4	FeSO4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	
AQU	FeCl+	FeCl+	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	
AQU	FeOH+	FeOH+	-1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	FeHSO4+2	FeHSO4+2	1	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	
AQU	FeSO4+	FeSO4+	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	
AQU	Fe(SO4)2-	Fe(SO4)2-	0	-1	0	0	0	0	0	1	0	0	2	0	0	0	0	
AQU	Fe(OH)3	Fe(OH)3	-3	-1	3	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	Fe2(OH)2+4	Fe2(OH)2+4	-2	-2	2	0	0	0	0	2	0	0	0	0	0	0	0	
AQU	Fe3(OH)4+5	Fe3(OH)4+5	-4	-3	4	0	0	0	0	3	0	0	0	0	0	0	0	
AQU	FeCl+2	FeCl+2	0	-1	0	0	0	0	0	1	0	0	0	0	1	0	0	
AQU	FeCl2+	FeCl2+	0	-1	0	0	0	0	0	1	0	0	0	0	2	0	0	
AQU	FeCl3	FeCl3	0	-1	0	0	0	0	0	1	0	0	0	0	3	0	0	
AQU	FeOH+2	FeOH+2	-1	-1	1	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	Fe(OH)2+	Fe(OH)2+	-2	-1	2	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	Fe(OH)4-	Fe(OH)4-	-4	-1	4	0	0	0	0	1	0	0	0	0	0	0	0	
AQU	FeSiO(OH)3+2	FeSiO(OH)3+2	-1	-1	0	0	0	1	0	1	0	0	0	0	0	0	0	
AQU	KSO4-	KSO4-	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	
AQU	KOH	KOH	-1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
AQU	MgCO3	MgCO3	-1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
AQU	MgHCO3+	MgHCO3+	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	
AQU	MgOH+	MgOH+	-1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	
AQU	MgSO4	MgSO4	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
AQU	MgSiO(OH)3+	MgSiO(OH)3+	-1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
AQU	MgSiO2(OH)2	MgSiO2(OH)2	-2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	
AQU	NaCO3-	NaCO3-	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
AQU	NaHCO3	NaHCO3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	
AQU	NaSO4-	NaSO4-	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
AQU	NaOH	NaOH	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	
AQU	CO2	CO2	1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	
AQU	CO3-2	CO3-2	-1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AQU	CH4	CH4	9	8	-3	1	0	0	0	0	0	0	0	0	0	0	0	
AQU	NH4+	NH4+	10	8	-3	0	0	0	0	0	0	0	0	0	0	1	0	
AQU	NH3	NH3	9	8	-3	0	0	0	0	0	0	0	0	0	0	1	0	
AQU	N2	N2	12	10	-6	0	0	0	0	0	0	0	0	0	0	2	0	
AQU	S2O3-2	S2O3-2	10	8	-5	0	0	0	0	0	0	0	2	0	0	0	0	
AQU	SO3-2	SO3-2	2	2	-1	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	HSO3-	HSO3-	3	2	-1	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	HSO4-	HSO4-	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	HS-	HS-	9	8	-4	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	H2S	H2S	10	8	-4	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	S-2	S-2	8	8	-4	0	0	0	0	0	0	0	1	0	0	0	0	
AQU	OH-	OH-	-1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
AQU	H2	H2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CH4(g)	CH4 	9	8	-3	1	0	0	0	0	0	0	0	0	0	0	0	
MIN	CO2(g)	CO2 	1	0	-1	1	0	0	0	0	0	0	0	0	0	0	0	
MIN	H2(g)	H2  	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	O2(g)	O2  	-4	-4	2	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	H2S(g)	H2S 	10	8	-4	0	0	0	0	0	0	0	1	0	0	0	0	
MIN	N2(g)	N2  	12	10	-6	0	0	0	0	0	0	0	0	0	0	2	0	
MIN	SiO2am	SiO2 	0	0	-2	0	0	1	0	0	0	0	0	0	0	0	0	
MIN	CSHtob1	(CaO)2(SiO2)12/5(H2O)16/5 	-4	0	0.4	0	2	2.4	0	0	0	0	0	0	0	0	0	
MIN	CSHjen	(CaO)5/3(SiO2)(H2O)21/10 	-3.333	0	1.767	0	1.667	1	0	0	0	0	0	0	0	0	0	
MIN	CSHtob2	(CaO)5/6(SiO2)(H2O)5/3 	-1.667	0	0.1666	0	0.8333	1	0	0	0	0	0	0	0	0	0	
MIN	C2AH8	Ca2Al2(OH)10(H2O)3 	-10	0	13	0	2	0	2	0	0	0	0	0	0	0	0	
MIN	C2FH8	Ca2Fe2(OH)10(H2O)3 	-10	-2	13	0	2	0	0	2	0	0	0	0	0	0	0	
MIN	hydrogarnetOH	Ca3Al2(OH)12 	-12	0	12	0	3	0	2	0	0	0	0	0	0	0	0	
MIN	hydrogarnetFe	Ca3Fe2(OH)12 	-12	-2	12	0	3	0	0	2	0	0	0	0	0	0	0	
MIN	C4AH13	Ca4Al2(OH)14(H2O)6 	-14	0	20	0	4	0	2	0	0	0	0	0	0	0	0	
MIN	C4FH13	Ca4Fe2(OH)14(H2O)6 	-14	-2	20	0	4	0	0	2	0	0	0	0	0	0	0	
MIN	Ettringite	Ca6Al2(SO4)3(OH)12(H2O)26 	-12	0	38	0	6	0	2	0	0	0	3	0	0	0	0	
MIN	tricarboaluminate	Ca6Al2(CO3)3(OH)12(H2O)26 	-15	0	38	3	6	0	2	0	0	0	0	0	0	0	0	
MIN	Fe-ettringite	Ca6Fe2(SO4)3(OH)12(H2O)26 	-12	-2	38	0	6	0	0	2	0	0	3	0	0	0	0	
MIN	monosulfoaluminate	Ca4Al2(SO4)(OH)12(H2O)6 	-12	0	18	0	4	0	2	0	0	0	1	0	0	0	0	
MIN	Fe-monosulfate	Ca4Fe2(SO4)(OH)12(H2O)6 	-12	-2	18	0	4	0	0	2	0	0	1	0	0	0	0	
MIN	stratlingite	Ca2Al2SiO2(OH)10(H2O)3 	-10	0	11	0	2	1	2	0	0	0	0	0	0	0	0	
MIN	Fe-stratlingite	Ca2Fe2SiO2(OH)10(H2O)3 	-10	-2	11	0	2	1	0	2	0	0	0	0	0	0	0	
MIN	hemicarboaluminate	Ca4Al2(CO3)0.5(OH)13(H2O)11/2 	-13.5	0	18.5	0.5	4	0	2	0	0	0	0	0	0	0	0	
MIN	Fe-hemicarbonate	Ca4Fe2(CO3)0.5(OH)13(H2O)11/2 	-13.5	-2	18.5	0.5	4	0	0	2	0	0	0	0	0	0	0	
MIN	monocarboaluminate	Ca4Al2(CO3)(OH)12(H2O)5 	-13	0	17	1	4	0	2	0	0	0	0	0	0	0	0	
MIN	Fe-monocarbonate	Ca4Fe2(CO3)(OH)12(H2O)5 	-13	-2	17	1	4	0	0	2	0	0	0	0	0	0	0	
MIN	hydrotalciteOH	Mg4Al2(OH)14(H2O)3 	-14	0	17	0	0	0	2	0	0	4	0	0	0	0	0	
MIN	hydrotalciteFe	Mg4Fe2(OH)14(H2O)3 	-14	-2	17	0	0	0	0	2	0	4	0	0	0	0	0	
MIN	CAH10	CaAl2(OH)8(H2O)6 	-8	0	14	0	1	0	2	0	0	0	0	0	0	0	0	
MIN	hydrogarnetSi	Ca3Al2(SiO4)4/5(OH)44/5 	-12	0	8.8	0	3	0.8	2	0	0	0	0	0	0	0	0	
MIN	hydrotalciteC	Mg4Al2(OH)12CO3(H2O)3 	-13	0	15	1	0	0	2	0	0	4	0	0	0	0	0	
MIN	syngenite	K2Ca(SO4)2H2O 	0	0	1	0	1	0	0	0	2	0	2	0	0	0	0	
MIN	Al(OH)3am	Al(OH)3 	-3	0	3	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Fe(OH)3mic	Fe(OH)3 	-3	-1	3	0	0	0	0	1	0	0	0	0	0	0	0	
MIN	Calcite	CaCO3   	-1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	
MIN	Portlandite	Ca(OH)2 	-2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
MIN	Anhydrite	CaSO4   	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	
MIN	Gypsum	CaSO4(H2O)2  	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	
MIN	Hematite	Fe2O3   	-6	-2	3	0	0	0	0	2	0	0	0	0	0	0	0	
MIN	Brucite	Mg(OH)2 	-2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	
MIN	Thaumasite	(CaSiO3)2(CaSO4)2(CaCO3)2(H2O)30 	-6	0	28	2	6	2	0	0	0	0	2	0	0	0	0	
